Brand,Title,Model Name,Model Number,Price,Rating,No_of_Ratings,No_of_Reviews,Color,Browse Type,SIM Type,Hybrid Sim Slot,Touchscreen,Display_size_cm,Resolution,Resolution Type,Display Type,Operating System,Processor Type,Processor Core,Internal Storage,Primary Camera,Primary Camera Features,Secondary Camera,Secondary Camera Features,Flash,HD Recording,Full HD Recording,Video Recording,Dual Camera Lens,Network Type,Supported Networks,Internet Connectivity,Bluetooth Support,Bluetooth Version,Wi-Fi,Wi-Fi Version,Wi-Fi Hotspot,NFC,Map Support,GPS Support,Smartphone,SIM Size,SMS,Sensors,GPS Type,Video Formats,Battery Capacity,Width,Height,Depth,Weight
APPLE,"APPLE iPhone 13 (Pink, 128 GB)",iPhone 13,MLPH3HN/A,52499,4.7,259109.0,12745.0,Pink,Smartphones,Dual Sim,No,Yes,15.49,2532 x 1170 Pixels,Super Retina XDR Display,Super Retina XDR,iOS 15,A15 Bionic Chip,Hexa Core,128.0,12MP + 12MP,"Dual 12MP Camera System (Wide and Ultra Wide), Wide: f/1.6 Aperture, Ultra Wide: f/2.4 Aperture, 120 Degree FOV, 2x Optical Zoom out, Digital Zoom up to 5x, Portrait Mode with Advanced Bokeh and Depth Control, Portrait Lighting with Six Effects (Natural, Studio, Contour, Stage, Stage Mono, High‑Key Mono), Sensor-shift Optical Image Stabilisation (Wide), Seven‑element Lens (Wide), Five‑element Lens (Ultra Wide), Panorama (up to 63MP), Sapphire Crystal Lens Cover, 100% Focus Pixels (Wide), Night Mode
Deep Fusion, Smart HDR 4, Photographic Styles, Wide Colour Capture for Photos and Live Photos, Lens Correction (Ultra Wide), Advanced Red‑eye Correction, Auto Image Stabilisation, Burst Mode, Photo Geotagging, Image Formats Captured: HEIF and JPEG, Video Recording: Sensor-shift OIS for Video (Wide), Audio Zoom, QuickTake Video, Time‑lapse Video with Stabilisation, Night Mode Time-lapse, Cinematic Video Stabilisation (4K, 1080p and 720p), Continuous AF Video, Playback Zoom, Stereo Recording",12MP Front Camera,"12MP TrueDepth Camera, f/2.2 Aperture, Portrait Mode with Advanced Bokeh and Depth Control, Portrait Lighting with Six Effects (Natural, Studio, Contour, Stage, Stage Mono, High‑Key Mono), Animoji and Memoji, Night Mode, Deep Fusion, Smart HDR 4, Photographic Styles, Cinematic Mode for Recording Videos with Shallow Depth of Field (1080p at 30 fps), HDR Video Recording with Dolby Vision up to 4K at 60 fps, Time‑lapse Video with Stabilisation, Night Mode Time-lapse, Cinematic Video Stabilisation (4K, 1080p and 720p), QuickTake Video, Wide Colour Capture for Photos and Live Photos, Lens Correction, Auto Image Stabilisation, Burst Mode",Rear: True Tone Flash with Slow Sync | Front: Retina Flash,Yes,Yes,Yes,Primary Camera,"5G, 4G, 3G, 2G","5G, 4G VoLTE, 4G LTE, UMTS, GSM","5G, 4G, 3G, Wi-Fi, EDGE",Yes,v5.0,Yes,Wi-Fi 6 (802.11ax) with 2x2 MIMO,Yes,Yes,Maps,Yes,Yes,Nano + eSIM,Yes,"Face ID, Barometer, Three‑axis Gyro, Accelerometer, Proximity Sensor, Ambient Light Sensor","Built-in GPS, GLONASS, Galileo, QZSS and BeiDou","HEVC, H.264, MPEG‑4 Part 2 and Motion JPEG, HDR with Dolby Vision, HDR10 and HLG",3240.0,71.5,146.7,7.65,173.0
POCO,"POCO C51 (Power Black, 64 GB)",C51,MZB0E6DIN,6499,4.1,78642.0,4449.0,Power Black,Smartphones,Dual Sim,No,Yes,16.56,1600 x 720 Pixels,HD+,HD+ Scratch Resistant Display,Android 13,Helio G36,Octa Core,64.0,8MP Dual Rear Camera,"8MP AI Dual Camera: (f/2.0 Aperture), Camera Features: HDR Mode, Photo Mode, Video Mode, Portrait Mode, Short Video, Timelapse, Tilt-Shift Mode",5MP Front Camera,5MP Front Camera,Rear Flash,Yes,Yes,Yes,Primary Camera,"2G, 3G, 4G, 4G VOLTE","4G LTE, 4G VoLTE, GSM, WCDMA","4G, 3G, Wi-Fi, EDGE, GPRS",Yes,v5.0,Yes,802.11 b/g/n,Yes,No,Google Maps,Yes,Yes,Nano Sim,Yes,"Accelerometer, Fingerprint Sensor","GPS, AGPS, GLONASS, BEIDOU","HEVC, H.264",5000.0,76.75,164.9,9.09,192.0
OnePlus,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)",Nord CE 2 Lite 5G,CPH2381/CVD,17196,4.4,110949.0,7728.0,Black Dusk,Smartphones,Dual Sim,No,Yes,16.74,2412 x 1080 Pixels,Full HD+,Full HD+ AMOLED Display,Android 13,"A15 Bionic Chip, 6 Core Processor",Octa Core,128.0,64MP Rear Camera,"Dual Camera Setup: 12MP Main Camera (Focal Length: 26 mm, f/1.5 Aperture, Sensor Shift Optical Image Stabilisation, Seven Element Lens, 100% Focus Pixels) + 12MP Ultra Wide Camera (Focal Length: 13 mm, f/2.4 Aperture and FOV: 120 Degree, Five Element Lens), 2X Optical Zoom Out, Digital Zoom Upto 5X, Sapphire Crystal Lens Cover, True Tone Flash, Camera Feature: Photonic Engine, Deep Fusion, Smart HDR 4, Portrait Mode with Advanced Bokeh and Depth Control, Portrait Lighting with Six Effects (Natural, Studio, Contour, Stage, Stage Mono, High Key Mono), Night Mode, Panorama (up to 63MP), Photographic Styles, Wide Colour Capture for Photos and Live Photos, Lens Correction (Ultra Wide), Advanced Red Eye Correction, Auto Image Stabilisation, Burst Mode, Photo Geotagging, Image Formats Captured: HEIF and JPEG",16MP Front Camera,"12MP Camera Setup: (f/1.9 Aperture), Camera Feature: Autofocus with Focus Pixels, Six Element Lens, Retina Flash, Photonic Engine, Deep Fusion, Smart HDR 4, Portrait Mode with Advanced Bokeh and Depth Control, Portrait Lighting with Six Effects (Natural, Studio, Contour, Stage, Stage Mono, High Key Mono), Animoji and Memoji, Night Mode, Photographic Styles, Apple ProRAW, Wide Colour Capture for Photos and Live Photos, Lens Correction, Auto Image Stabilisation, Burst Mode, Video Feature: Timelapse Video with Stabilisation, Night Mode Timelapse, QuickTake Video, Cinematic Video Stabilisation (4K, 1080p and 720p)",Rear Flash,Yes,Yes,Yes,Primary Camera,5G,5G,"5G, 4G, 3G, Wi-Fi, EDGE",Yes,v5.0,Yes,Supports 2.4 GHz and 5 GHz Dual Band,Yes,No,Google Maps,Yes,Yes,Nano Sim,Yes,"Accelerometer, Fingerprint Sensor","GPS, AGPS, GLONASS, BEIDOU","HEVC, H.264",5000.0,76.75,164.9,9.09,192.0
realme,"realme 11x 5G (Purple Dawn, 128 GB)",11x 5G,RMX3785,15999,4.3,2633.0,220.0,Purple Dawn,Smartphones,Dual Sim,No,Yes,17.07,2400 x 1080 Pixels,Full HD+,Full HD+ LCD,Android 13,Dimensity 6100+,Octa Core,128.0,64MP + 2MP,"Dual Camera Setup: 64MP Primary Camera (OV OV64B40, f/1.79 Aperture, 1/2 inch Sensor Size, 0.702um Pixel Size, FOV: 80.7 Degree, 6P Lens, Focal Length: 25.1 mm, PDAF) + 2MP Portrait Camera (OV OV02B1B, f/2.4 Aperture, 1/5 inch Sensor Size, 1.75um Pixel Size, FOV: 89.1 Degree, 3P Lens, Focal Length: 21.6 mm, Fixed Focus), CMOS, 20 Continuous Shoots, Camera Feature: Night Mode, Street Mode, Photograph Mode, Portrait Mode, 64MP Mode, Professional Mode, Panoramic View, Text Scanner, Tift Shift, Video Feature: Dual View Video, Film Mode, Tift Shift, Slow Motion, Timelapse, Video Mode",8MP Front Camera,"8MP Front Camera Setup: (OV OV08D10, f/2.05 Aperture, FOV: 80 Degree, 1/4 inch Sensor Size, 1.12um Pixel Size, 4P Lens, Fixed Focus, CMOS, Camera Features: Night Mode, Photograph Mode, Portrait Mode, Panoramic View",Rear: Single Flash | Front: Screen Flash,Yes,Yes,Yes,Primary Camera,"5G, 4G VOLTE, 4G, 3G, 2G","5G, 4G VoLTE, 4G LTE, WCDMA, GSM","5G, 4G, 3G, EDGE, GPRS, Wi-Fi",Yes,v5.2,Yes,"Support 2.4 GHz, 5 GHz",Yes,No,Google Maps,Yes,Yes,Nano Sim,Yes,"Magnetic Induction Sensor, Light Sensor, Proximity Sensor, Acceleration Sensor","GPS, AGPS, BEIDOU, GALILEO, GLONASS","MP4, 3GP, ASF, AVI, FLV, M2TS, MKV, MPG, TS, WEBM, WMV",5000.0,76.0,165.7,7.89,190.0
realme,"realme 11x 5G (Midnight Black, 128 GB)",11x 5G,RMX3785,14999,4.4,13807.0,988.0,Midnight Black,Smartphones,Dual Sim,No,Yes,17.07,2400 x 1080 Pixels,Full HD+,Full HD+ LCD,Android 13,Dimensity 6100+,Octa Core,128.0,64MP + 2MP,"Dual Camera Setup: 64MP Primary Camera (OV OV64B40, f/1.79 Aperture, 1/2 inch Sensor Size, 0.702um Pixel Size, FOV: 80.7 Degree, 6P Lens, Focal Length: 25.1 mm, PDAF) + 2MP Portrait Camera (OV OV02B1B, f/2.4 Aperture, 1/5 inch Sensor Size, 1.75um Pixel Size, FOV: 89.1 Degree, 3P Lens, Focal Length: 21.6 mm, Fixed Focus), CMOS, 20 Continuous Shoots, Camera Feature: Night Mode, Street Mode, Photograph Mode, Portrait Mode, 64MP Mode, Professional Mode, Panoramic View, Text Scanner, Tift Shift, Video Feature: Dual View Video, Film Mode, Tift Shift, Slow Motion, Timelapse, Video Mode",8MP Front Camera,"8MP Front Camera Setup: (OV OV08D10, f/2.05 Aperture, FOV: 80 Degree, 1/4 inch Sensor Size, 1.12um Pixel Size, 4P Lens, Fixed Focus, CMOS, Camera Features: Night Mode, Photograph Mode, Portrait Mode, Panoramic View",Rear: Single Flash | Front: Screen Flash,Yes,Yes,Yes,Primary Camera,"5G, 4G VOLTE, 4G, 3G, 2G","5G, 4G VoLTE, 4G LTE, WCDMA, GSM","5G, 4G, 3G, EDGE, GPRS, Wi-Fi",Yes,v5.2,Yes,"Support 2.4 GHz, 5 GHz",Yes,No,Google Maps,Yes,Yes,Nano Sim,Yes,"Magnetic Induction Sensor, Light Sensor, Proximity Sensor, Acceleration Sensor","GPS, AGPS, BEIDOU, GALILEO, GLONASS","MP4, 3GP, ASF, AVI, FLV, M2TS, MKV, MPG, TS, WEBM, WMV",5000.0,76.0,165.7,7.89,190.0
POCO,"POCO C55 (Power Black, 128 GB)",C55,MZB0DDKIN,8499,4.1,49552.0,2942.0,Power Black,Smartphones,Dual Sim,No,Yes,17.04,1650 x 720 Pixels,HD+,Full HD+ AMOLED Display,Android 12,Mediatek Helio G85,Octa Core,128.0,50MP Dual Rear Camera,"AI Dual Camera Setup: 50MP (f/1.8 Aperture, 1.28um (4-in-1 Super Pixel)), Camera Features: Photo Mode, 50MP Mode, Timelapse, Night Mode, Portrait Mode, Document Mode, Movie Frame, Voice Shutter, Tilt Shift, Timed Burst",5MP Front Camera,"5MP Front Camera: Camera Features: Portrait Mode, HDR, Front Video Recording, Palm Shutter, Voice Shutter, Movie Frame, Timelapse",Rear Flash,Yes,Yes,Yes,Primary Camera,"4G VOLTE, 4G, 3G, 2G","4G VoLTE, 4G LTE, WCDMA, GSM","4G, 3G, Wi-Fi, EDGE, GPRS",Yes,v5.0,Yes,Supports 2.4 GHz and 5 GHz Dual Band,Yes,No,Yes,Yes,Yes,Nano Sim,Yes,"Accelerometer, Rear Fingerprint Sensor, Light Sensor (Software Solution), Proximity Sensor (Software Solution)","GPS, AGPS, GLONASS, GALILEO, QZSS","HEVC, H.264",5000.0,76.41,168.76,8.77,192.0
APPLE,"APPLE iPhone 13 (Starlight, 128 GB)",iPhone 13,MLPG3HN/A,52499,4.7,259109.0,12745.0,Starlight,Smartphones,Dual Sim,No,Yes,15.49,2532 x 1170 Pixels,Super Retina XDR Display,Super Retina XDR Display,iOS 15,A15 Bionic Chip,Hexa Core,128.0,12MP + 12MP,"Dual 12MP Camera System (Wide and Ultra Wide), Wide: f/1.6 Aperture, Ultra Wide: f/2.4 Aperture, 120 Degree FOV, 2x Optical Zoom out, Digital Zoom up to 5x, Portrait Mode with Advanced Bokeh and Depth Control, Portrait Lighting with Six Effects (Natural, Studio, Contour, Stage, Stage Mono, High‑Key Mono), Sensor-shift Optical Image Stabilisation (Wide), Seven‑element Lens (Wide), Five‑element Lens (Ultra Wide), Panorama (up to 63MP), Sapphire Crystal Lens Cover, 100% Focus Pixels (Wide), Night Mode
Deep Fusion, Smart HDR 4, Photographic Styles, Wide Colour Capture for Photos and Live Photos, Lens Correction (Ultra Wide), Advanced Red‑eye Correction, Auto Image Stabilisation, Burst Mode, Photo Geotagging, Image Formats Captured: HEIF and JPEG, Video Recording: Sensor-shift OIS for Video (Wide), Audio Zoom, QuickTake Video, Time‑lapse Video with Stabilisation, Night Mode Time-lapse, Cinematic Video Stabilisation (4K, 1080p and 720p), Continuous AF Video, Playback Zoom, Stereo Recording",12MP Front Camera,"12MP TrueDepth Camera, f/2.2 Aperture, Portrait Mode with Advanced Bokeh and Depth Control, Portrait Lighting with Six Effects (Natural, Studio, Contour, Stage, Stage Mono, High‑Key Mono), Animoji and Memoji, Night Mode, Deep Fusion, Smart HDR 4, Photographic Styles, Cinematic Mode for Recording Videos with Shallow Depth of Field (1080p at 30 fps), HDR Video Recording with Dolby Vision up to 4K at 60 fps, Time‑lapse Video with Stabilisation, Night Mode Time-lapse, Cinematic Video Stabilisation (4K, 1080p and 720p), QuickTake Video, Wide Colour Capture for Photos and Live Photos, Lens Correction, Auto Image Stabilisation, Burst Mode",Rear: True Tone Flash with Slow Sync | Front: Retina Flash,Yes,Yes,Yes,Primary Camera,"5G, 4G, 3G, 2G","5G, 4G VoLTE, 4G LTE, UMTS, GSM","5G, 4G, 3G, Wi-Fi, EDGE",Yes,v5.0,Yes,Wi-Fi 6 (802.11ax) with 2x2 MIMO,Yes,Yes,Maps,Yes,Yes,Nano + eSIM,Yes,"Face ID, Barometer, Three‑axis Gyro, Accelerometer, Proximity Sensor, Ambient Light Sensor","Built-in GPS, GLONASS, Galileo, QZSS and BeiDou","HEVC, H.264, MPEG‑4 Part 2 and Motion JPEG, HDR with Dolby Vision, HDR10 and HLG",3240.0,71.5,146.7,7.65,173.0
POCO,"POCO C51 (Royal Blue, 64 GB)",C51,MZB0DXKIN,6499,4.1,78642.0,4449.0,Royal Blue,Smartphones,Dual Sim,No,Yes,16.56,1600 x 720 Pixels,HD+,HD+ Scratch Resistant Display,Android 13,Helio G36,Octa Core,64.0,8MP Dual Rear Camera,"8MP AI Dual Camera: (f/2.0 Aperture), Camera Features: HDR Mode, Photo Mode, Video Mode, Portrait Mode, Short Video, Timelapse, Tilt-Shift Mode",5MP Front Camera,5MP Front Camera,Rear Flash,Yes,Yes,Yes,Primary Camera,"2G, 3G, 4G, 4G VOLTE","4G LTE, 4G VoLTE, GSM, WCDMA","4G, 3G, Wi-Fi, EDGE, GPRS",Yes,v5.0,Yes,802.11 b/g/n,Yes,No,Google Maps,Yes,Yes,Nano Sim,Yes,"Accelerometer, Fingerprint Sensor","GPS, AGPS, GLONASS, BEIDOU","HEVC, H.264",5000.0,76.75,164.9,9.09,192.0
vivo,"vivo T2x 5G (Marine Blue, 128 GB)",T2x 5G,V2253|V2312,12999,4.4,77626.0,4342.0,Marine Blue,Smartphones,Dual Sim,Yes,Yes,16.71,2408 x 1080 Pixels,Full HD+,Full HD+ LCD Display,Android 13,Dimensity 6020,Octa Core,128.0,50MP + 2MP,"Dual Camera Setup: 50MP (f/1.8 Aperture) + 2MP (f/2.4 Aperture), Camera Features: Photo, Night, Portrait, Video, 50 MP, Panorama, Live Photo, Slo-Mo, Timelapse, Pro, Documents",8MP Front Camera,8MP Front Camera Setup: (f/2.0 Aperture),Rear Flashlight,Yes,Yes,Yes,Primary Camera,"5G, 4G, 3G","5G, 4G LTE, WCDMA","5G, 4G, 3G, Wi-Fi",Yes,v5.1,Yes,Supports 2.4 GHz and 5 GHz Dual Band,Yes,No,Google Maps,Yes,Yes,Nano Sim,Yes,"Accelerometer, Ambient Light Sensor, Proximity Sensor, E-Compass, Fingerprint Sensor, Gyroscope","GPS, BEIDOU, GLONASS, GALILEO, QZSS","MP4, 3GP, MKV, FLV",5000.0,75.6,164.05,8.15,184.0
MOTOROLA,"MOTOROLA g84 5G (Marshmallow Blue, 256 GB)",g84 5G,PAYM0017IN,19999,4.2,1613.0,223.0,Marshmallow Blue,Smartphones,Dual Sim,No,Yes,16.64,2400 x 1080 Pixels,Full HD+,Full HD+ pOLED Display,Android 13,Snapdragon 695,Octa Core,256.0,50MP (OIS) + 8MP,"Dual Camera Setup: 50MP (1/1.5 inch Optical Format, f/1.88 Aperture, 1.0um Pixel Size, Ultra Pixel Technology for 2.0um, Dual PDAF, Optical Image Stabilization (OIS)) + 8MP Depth Camera (f/2.2 Aperture, 1.12um Pixel Size, FOV: 118 Degree Ultra Wide Angle, Macro Vision, Depth), Camera Feature: Ultra Res, Pro (W/ Long Exposure), 360 Degree Panorama, AR Stickers, Live Photo Filters, Live Video Filters, Dual Capture, Night Vision, Portrait (W/ HDR), Scan, Spot Color, Cutout, Auto Smile Capture, Google Lens Integration, Smart Composition, Shot Optimization, Auto Night Vision, Burst Shot, Timer, Assistive Grid, Watermark, Leveler, RAW Photo Output, Barcode Scanner, HDR, Active Photos, Video Features: Dual Capture, Portrait, Timelapse (W/ Hyperlapse), Super Slow Motion, Spot Color, Video Snapshot",16MP Front Camera,"Front Camera Setup: 16MP Camera (f/2.45 Aperture, 1.0um Pixel Size), Camera Features: Pro (W/ Long Exposure), Group Selfie, Live Photo Filters, Live Video Filters, Dual Capture, Auto Night Vision, Portrait (W/ HDR), Spot Color, Auto Smile Capture, Gesture Capture, Shot Optimization, Burst Shot, Timer, Assistive Grid, Watermark, Leveler, Selfie Photo Mirror, Selfie Animation, Face Beauty, RAW Photo Output, HDR, Active Photos, Video Feature: Dual Capture, Spot Color, Timelapse (W/ Hyperlapse), Video Stabilization, Face Beauty, Video Snapshot",Rear: LED Flash,Yes,Yes,Yes,Primary Camera,"2G, 3G, 4G, 5G","4G LTE, 5G, GSM, UMTS","5G, 4G, 3G, Wi-Fi",Yes,v5.1,Yes,Wi-Fi 802.11 a/b/g/n/ac/ax (2.4 GHz | 5 GHz),Yes,Yes,Google Maps,Yes,Yes,Nano Sim,Yes,"Proximity Sensor, Ambient Light Sensor, Accelerometer, Gyroscope, SAR Sensor, Sensor Hub, Mobile Hotspot, Magnetometer (E-Compass)","GPS, A-GPS, GLONASS, GALILEO, LTEPP, SUPL","MP4, 3GP, MKV, FLV",5000.0,74.4,160.0,7.6,168.3
